timestamp_ms,slot,frequency_mhz,rssi_dbm,snr,payload_hex,payload_text,length
1239236,123,923.400,-27,3.25,69763d61613330663339653634333661663961373963313034643639666432323064322c6d73673d346434343933346232306262653061626336646630386562626438333834363335636330333234353739343665363663336632613362393861623636303834322c636f756e7465723d3534312c743d313233383938392c6b696e643d64617461,iv=aa30f39e6436af9a79c104d69fd220d2;msg=4d44934b20bbe0abc6df08ebbd8384635cc032457946e66c3f2a3b98ab660842;counter=541;t=1238989;kind=data,136
1241494,124,923.200,-27,1.25,69763d38326231303362313563653236343662393335633236383435653635323038392c6d73673d313363653931376330366133376463393961313239346137646663393138353866346466663161303833666236383237616464646539623332376338646466342c636f756e7465723d3534322c743d313234313235302c6b696e643d64617461,iv=82b103b15ce2646b935c26845e652089;msg=13ce917c06a37dc99a1294a7dfc91858f4dff1a083fb6827addde9b327c8ddf4;counter=542;t=1241250;kind=data,136
1243750,124,923.200,-28,5.75,69763d66626337363830363535613137653163383330366563306361326265383932652c6d73673d323036393331643635353830383334343833346163643235373665613662623935333932343463636538313566393139366435646231616363323065663037372c636f756e7465723d3534332c743d313234333530352c6b696e643d64617461,iv=fbc7680655a17e1c8306ec0ca2be892e;msg=206931d655808344834acd2576ea6bb9539244cce815f9196d5db1acc20ef077;counter=543;t=1243505;kind=data,136
1246008,124,923.200,-27,3.75,69763d66336234373338396464373733643732356435356364323530653463343436302c6d73673d363038613566386630626364353738616165653335616162316631636137333037353931383232656338643733306531623836336132613933613866623766632c636f756e7465723d3534342c743d313234353736332c6b696e643d64617461,iv=f3b47389dd773d725d55cd250e4c4460;msg=608a5f8f0bcd578aaee35aab1f1ca7307591822ec8d730e1b863a2a93a8fb7fc;counter=544;t=1245763;kind=data,136
1248264,124,923.200,-27,1.25,69763d63333437343135306431373837323666313065316363333838663639613335322c6d73673d346433393730326437353539343036343061636537623062316462363161306338353937343531326465636661396264353533653061376466303162623865312c636f756e7465723d3534352c743d313234383031392c6b696e643d64617461,iv=c3474150d178726f10e1cc388f69a352;msg=4d39702d755940640ace7b0b1db61a0c85974512decfa9bd553e0a7df01bb8e1;counter=545;t=1248019;kind=data,136
1250519,125,920.800,-26,10.25,69763d34633263393966353930376138333661326332646165373564383664643832382c6d73673d346432313435326538663865613161303366613539656332643437373638386530396135613064313133623536393664633838663832363233396634326334342c636f756e7465723d3534362c743d313235303237342c6b696e643d64617461,iv=4c2c99f5907a836a2c2dae75d86dd828;msg=4d21452e8f8ea1a03fa59ec2d477688e09a5a0d113b5696dc88f826239f42c44;counter=546;t=1250274;kind=data,136
1252778,125,920.800,-27,9.5,69763d36323237663331653165393038363332366161306535326633343835346662392c6d73673d653565303434623134383931333162316230383564616664316563363662366335303138313666373839666666383163613136613264643339373235643862382c636f756e7465723d3534372c743d313235323533332c6b696e643d64617461,iv=6227f31e1e9086326aa0e52f34854fb9;msg=e5e044b1489131b1b085dafd1ec66b6c501816f789fff81ca16a2dd39725d8b8;counter=547;t=1252533;kind=data,136
1255034,125,920.800,-27,9.75,69763d61383032633432336638333937303562383838623932656532353962346639652c6d73673d636139343164346232393666336261356236633932373566306166613864343664613434343234613635323233383635356566383036653763383064653835652c636f756e7465723d3534382c743d313235343738392c6b696e643d64617461,iv=a802c423f839705b888b92ee259b4f9e;msg=ca941d4b296f3ba5b6c9275f0afa8d46da44424a652238655ef806e7c80de85e;counter=548;t=1254789;kind=data,136
1257290,125,920.800,-28,9.0,69763d31666330326665616233633135376662343035656533623061393038316530342c6d73673d363161626365323963656232323763366338386538343138636533323130333665303633393634356264366435636561363631613932386164323432613039632c636f756e7465723d3534392c743d313235373034342c6b696e643d64617461,iv=1fc02feab3c157fb405ee3b0a9081e04;msg=61abce29ceb227c6c88e8418ce321036e0639645bd6d5cea661a928ad242a09c;counter=549;t=1257044;kind=data,136
1259548,125,920.800,-26,9.25,69763d61386662646436666364393032616237356239633231343635633034636264302c6d73673d636435313632653033356365383931316661366538393733373139623562643638623832633166393733663233333032323338306365346634316565643033322c636f756e7465723d3535302c743d313235393330332c6b696e643d64617461,iv=a8fbdd6fcd902ab75b9c21465c04cbd0;msg=cd5162e035ce8911fa6e8973719b5bd68b82c1f973f233022380ce4f41eed032;counter=550;t=1259303;kind=data,136
