t_ms,rssi_dbm,snr_db,epoch_s
91259,-16,9.25,822931639
91399,-16,9.5,822931639
91539,-16,9.25,822931640
91679,-16,9.25,822931640
91819,-15,9.5,822931640
91960,-15,10.5,822931640
92100,-15,10.0,822931640
92240,-16,10.0,822931640
92380,-16,9.5,822931640
92520,-15,9.5,822931641
92660,-26,9.75,822931641
92800,-15,9.5,822931641
92943,-15,9.75,822931641
93223,-18,10.5,822931641
93363,-26,9.75,822931641
93503,-15,10.0,822931642
93644,-26,9.75,822931642
93783,-16,9.75,822931642
93924,-15,9.5,822931642
94064,-16,9.75,822931642
94204,-15,10.0,822931642
94344,-15,9.5,822931642
94484,-16,9.5,822931643
94625,-26,9.25,822931643
94765,-16,9.5,822931643
94905,-16,9.5,822931643
95045,-16,9.5,822931643
95185,-16,9.75,822931643
95327,-25,9.0,822931643
95467,-16,10.0,822931643
95607,-16,9.5,822931644
95748,-15,9.5,822931644
96028,-19,9.5,822931644
96168,-16,10.0,822931644
96308,-15,9.25,822931644
96448,-16,9.25,822931644
96588,-16,9.25,822931645
96729,-15,9.5,822931645
96869,-15,9.5,822931645
97009,-15,9.5,822931645
97149,-25,9.0,822931645
97289,-16,10.0,822931645
97429,-15,10.5,822931645
97569,-15,10.5,822931646
97710,-15,10.25,822931646
97850,-16,9.75,822931646
97990,-16,9.75,822931646
98130,-15,9.5,822931646
98271,-15,9.75,822931646
98410,-15,10.0,822931646
98551,-15,10.5,822931647
98693,-16,9.5,822931647
98833,-15,9.25,822931647
98973,-15,9.5,822931647
99113,-16,9.5,822931647
99253,-15,9.25,822931647
99534,-16,9.25,822931648
99674,-16,9.0,822931648
99814,-15,9.5,822931648
99954,-16,9.25,822931648
100096,-16,9.0,822931648
100234,-16,9.5,822931648
100375,-16,9.5,822931648
100515,-16,9.0,822931649
100655,-16,9.0,822931649
100795,-16,9.5,822931649
100935,-15,9.5,822931649
101077,-16,9.5,822931649
101218,-16,9.25,822931649
101358,-16,9.75,822931649
101498,-15,9.0,822931650
101638,-16,9.5,822931650
101778,-16,9.0,822931650
101918,-16,9.25,822931650
102058,-16,9.25,822931650
102199,-16,9.0,822931650
102339,-16,9.5,822931650
102479,-16,9.5,822931650
102619,-16,9.25,822931651
102759,-16,9.0,822931651
102899,-16,9.0,822931651
103040,-16,9.5,822931651
103180,-16,9.5,822931651
103320,-16,9.75,822931651
103460,-16,9.75,822931651
103600,-16,9.5,822931652
103740,-16,9.25,822931652
103880,-16,9.25,822931652
104021,-16,9.25,822931652
104161,-16,9.25,822931652
104301,-16,9.0,822931652
104443,-16,9.25,822931652
104583,-16,9.5,822931653
104725,-16,9.5,822931653
104863,-16,9.25,822931653
105004,-16,9.25,822931653
105143,-16,8.75,822931653
105284,-16,9.5,822931653
105424,-16,9.25,822931653
105564,-26,9.0,822931654
105704,-16,9.25,822931654
105844,-16,9.5,822931654
105984,-16,9.75,822931654
106125,-16,9.0,822931654
106265,-16,9.25,822931654
106405,-16,9.5,822931654
106547,-16,9.25,822931655
106685,-16,9.5,822931655
106827,-15,9.5,822931655
106968,-26,8.75,822931655
107108,-16,9.75,822931655
107248,-16,9.75,822931655
107388,-15,9.5,822931655
107528,-16,9.5,822931656
107668,-16,9.0,822931656
107809,-16,9.25,822931656
107949,-15,9.25,822931656
108089,-16,9.5,822931656
108229,-16,9.75,822931656
108369,-16,9.25,822931656
108509,-16,9.5,822931657
108649,-16,9.25,822931657
108789,-16,9.5,822931657
108930,-16,9.25,822931657
109070,-16,9.0,822931657
109212,-16,9.0,822931657
109352,-16,9.25,822931657
109492,-16,9.25,822931658
109632,-15,8.75,822931658
109772,-16,9.25,822931658
109915,-15,9.25,822931658
110053,-16,9.25,822931658
110193,-16,9.0,822931658
110333,-16,9.25,822931658
110473,-16,9.5,822931658
110613,-16,9.0,822931659
110753,-16,9.5,822931659
110894,-16,9.0,822931659
111034,-15,12.0,822931659
111174,-15,9.5,822931659
111314,-16,9.75,822931659
111454,-16,9.25,822931659
111594,-16,9.5,822931660
111734,-15,9.75,822931660
111875,-16,9.25,822931660
112155,-24,9.25,822931660
